time,people_detected,customers_entered,time_in_frame
12:33:34,1,0,0
12:33:34,4,1,0
12:33:34,5,1,0
12:33:34,1,1,0
12:33:34,1,1,0
12:33:35,2,1,0
12:33:35,1,1,1
12:33:35,1,1,1
12:33:35,2,1,1
12:33:35,2,1,1
12:33:35,2,1,1
12:33:35,2,1,1
12:33:36,1,1,1
12:33:36,0,1,0
12:33:36,1,1,0
12:33:36,2,1,0
12:33:36,2,1,0
12:33:36,2,1,0
12:33:36,1,1,0
12:33:37,1,1,0
12:33:37,1,1,0
12:33:37,1,1,1
12:33:37,1,1,1
12:33:37,0,1,0
12:33:37,1,1,0
12:33:38,1,1,0
12:33:38,1,1,0
12:33:38,2,1,0
12:33:38,1,1,0
12:33:38,2,1,0
12:33:38,2,1,0
12:33:38,1,1,0
12:33:38,1,2,1
12:33:39,2,2,1
12:33:39,1,2,1
12:33:39,3,2,1
12:33:39,1,2,1
12:33:39,2,2,1
12:33:39,1,2,1
12:33:39,1,2,2
12:33:40,1,2,2
12:33:40,1,2,2
12:33:40,2,2,2
12:33:40,2,2,2
12:33:40,1,2,2
12:33:40,1,2,2
12:33:40,1,2,2
12:33:40,1,2,3
12:33:41,0,2,0
12:33:41,1,2,0
12:33:41,1,2,0
12:33:41,0,2,0
12:33:41,1,2,0
12:33:41,1,2,0
12:33:41,0,2,0
12:33:42,1,2,0
12:33:42,1,2,0
12:33:42,1,2,0
12:33:42,1,2,0
12:33:42,1,2,0
12:33:42,1,2,0
12:33:42,1,2,0
12:33:42,1,2,0
12:33:43,1,2,0
12:33:43,1,2,1
12:33:43,2,2,1
12:33:43,1,2,1
12:33:43,1,2,1
12:33:43,1,2,1
12:33:43,1,2,1
12:33:44,1,2,1
12:33:44,1,2,2
12:33:44,1,2,2
12:33:44,1,2,2
12:33:44,1,2,2
12:33:44,1,2,2
12:33:44,1,2,2
12:33:45,1,2,2
12:33:45,1,2,3
12:33:45,1,2,3
12:33:45,1,2,3
12:33:45,1,2,3
12:33:45,2,3,3
12:33:45,2,3,3
12:33:45,1,3,3
12:33:46,1,3,3
12:33:46,2,3,4
12:33:46,2,3,4
12:33:46,1,3,4
12:33:46,1,3,4
12:33:46,2,3,4
12:33:46,2,3,4
12:33:47,2,3,4
12:33:47,1,3,5
12:33:47,1,3,5
12:33:47,1,3,5
12:33:47,2,3,5
12:33:47,1,3,5
12:33:47,1,3,5
12:33:48,1,3,5
12:33:48,1,3,6
12:33:48,1,3,6
12:33:48,1,3,6
12:33:48,1,3,6
12:33:48,1,3,6
12:33:48,1,3,6
12:33:49,1,3,6
12:33:49,1,3,7
12:33:49,1,3,7
12:33:49,1,3,7
12:33:49,1,3,7
12:33:49,2,3,7
12:33:49,1,3,7
12:33:49,1,3,7
12:33:50,1,3,7
12:33:50,1,3,8
12:33:50,1,3,8
12:33:50,1,3,8
12:33:50,1,3,8
12:33:51,2,3,8
12:33:51,1,3,9
12:33:51,1,3,9
12:33:51,1,3,9
12:33:51,1,3,9
12:33:51,1,3,9
12:33:51,2,3,9
12:33:52,1,3,9
12:33:52,2,3,10
12:33:52,1,3,10
12:33:52,1,3,10
12:33:52,1,3,10
12:33:52,1,3,10
12:33:52,1,3,10
12:33:53,1,3,10
12:33:53,1,3,11
12:33:53,1,3,11
12:33:53,1,3,11
12:33:54,1,3,11
12:33:54,1,3,12
12:33:54,1,3,12
12:33:54,1,3,12
12:33:54,1,3,12
12:33:55,1,3,13
12:33:55,2,3,13
12:33:55,1,3,13
12:33:55,1,3,13
12:33:55,1,3,13
12:33:55,2,3,13
12:33:56,1,3,13
12:33:56,1,3,14
12:33:56,1,3,14
12:33:56,2,3,14
